Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-2541.858	-2762.506	220.6471	1.26988	0.4441417	5.228835
6	-2539.824	-2762.313	222.4897	1.201943	0.3405432	4.351076
12	-2548.416	-2771.01	222.594	1.171024	0.3074773	4.351076
18	-2537.196	-2759.76	222.564	1.1767	0.2586724	4.43141
24	-2546.699	-2766.321	219.6214	1.1767	0.4938478	5.796857
30	-2549.127	-2768.148	219.0212	0.9747429	0.2737888	6.474362
36	-2543.104	-2761.992	218.8878	0.9339	0.350338	6.474362
42	-2539.283	-2760.562	221.2797	1.13427	0.332993	5.075015
48	-2538.467	-2759.891	221.4242	1.199836	0.332993	4.958389
54	-2529.051	-2752.203	223.152	1.338554	0.332993	3.905828
60	-2532.096	-2753.166	221.0698	1.183028	0.3662879	5.125403
66	-2539.661	-2761.667	222.0055	1.163477	0.2601995	4.750066
72	-2537.955	-2759.842	221.8876	1.163477	0.3090594	4.750066
78	-2545.178	-2766.92	221.7424	1.148463	0.3845043	4.750066
84	-2544.561	-2765.449	220.8885	0.9761728	0.3465453	5.362668
90	-2535.099	-2755.832	220.733	1.010407	0.30421	5.481052
96	-2546.231	-2767.601	221.3703	1.048854	0.3678954	5.031379
102	-2547.994	-2768.155	220.1608	1.080472	0.3381603	5.715152
108	-2543.304	-2763.969	220.6648	1.102	0.3381603	5.426495
114	-2540.522	-2759.254	218.7322	1.042179	0.3381603	6.514051
120	-2539.406	-2760.022	220.6166	1.145705	0.4492341	5.309282
126	-2548.565	-2769.19	220.6241	1.123867	0.3342269	5.441555
132	-2549.143	-2767.799	218.6555	1.123999	0.2224601	6.664562
138	-2546.897	-2767.39	220.4931	0.9579948	0.2224601	5.755463
144	-2545.149	-2764.782	219.6328	1.033996	0.3153007	6.056651
150	-2537.306	-2756.801	219.4954	1.013246	0.2432304	6.238604
156	-2533.99	-2753.294	219.3043	1.055312	0.2435522	6.31913
162	-2537.764	-2756.377	218.6125	1.091212	0.3015715	6.596575
168	-2527.931	-2749.917	221.9859	1.14869	0.3121683	4.699437
174	-2528.212	-2749.82	221.6078	1.250805	0.4364066	4.713073
180	-2535.153	-2753.586	218.4327	0.9716851	0.2790379	6.787326
186	-2547.029	-2766.158	219.1291	0.9647237	0.2842955	6.407408
192	-2535.946	-2757.035	221.0894	1.252975	0.4083319	5.02983
198	-2543.315	-2766.403	223.0879	1.378265	0.199039	4.114005
204	-2537.665	-2760.778	223.1128	1.451492	0.2733727	3.942743
210	-2549.772	-2770.18	220.4084	1.108355	0.2666303	5.655229
216	-2541.951	-2765.288	223.3365	1.272892	0.2551316	3.943306
222	-2543.342	-2764.913	221.5716	1.394636	0.2092435	4.940389
228	-2536.319	-2757.794	221.4751	1.314021	0.2362165	4.99679
234	-2537.345	-2759.899	222.5545	1.238518	0.2362165	4.435262
240	-2542.427	-2765.315	222.8885	1.40189	0.3309156	4.022916
246	-2535.012	-2756.773	221.7609	1.054613	0.3309156	4.854263
252	-2536.591	-2757.918	221.3275	1.191087	0.2740693	5.092715
258	-2539.835	-2762.629	222.794	1.235978	0.2740693	4.246081
264	-2546.158	-2766.238	220.0801	1.04683	0.3267795	5.79138
270	-2550.561	-2770.938	220.3765	1.136003	0.23064	5.709386
276	-2540.858	-2761.829	220.9705	1.136003	0.2214996	5.396926
282	-2533.05	-2753.693	220.6435	1.051169	0.3880022	5.409713
288	-2529.698	-2750.366	220.6679	1.076203	0.3803947	5.390783
294	-2524.134	-2743.897	219.7635	1.077557	0.3803947	5.88626
300	-2522.604	-2743.818	221.2136	1.208048	0.23878	5.196676
306	-2520.785	-2741.296	220.5116	1.222105	0.2320936	5.585829
312	-2533.261	-2755.227	221.9653	1.200705	0.3705652	4.61165
318	-2526.992	-2749.275	222.2839	1.039792	0.4095247	4.48016
324	-2526.367	-2748.947	222.5808	1.239389	0.2512452	4.397422
330	-2537.275	-2757.781	220.5058	1.207902	0.2062776	5.636964
336	-2536.919	-2758.006	221.087	1.20625	0.2325314	5.277024
342	-2535.658	-2756.423	220.7654	1.273767	0.4015171	5.20504
348	-2544.066	-2764.077	220.011	1.107253	0.2414142	5.909081
354	-2546.976	-2766.277	219.301	1.026072	0.4112183	6.133941
360	-2556.057	-2776.066	220.009	1.077943	0.2733912	5.881355
366	-2545.226	-2766.307	221.0804	1.076298	0.2861981	5.276637
372	-2546.971	-2765.324	218.3534	1.050037	0.3424756	6.709664
378	-2549.38	-2768.907	219.5267	0.9304613	0.5107303	5.967962
384	-2539.262	-2760.197	220.9351	1.216928	0.3608985	5.187351
390	-2541.779	-2764.93	223.1515	1.237589	0.3718878	3.917191
396	-2545.683	-2768.59	222.9072	1.237589	0.3362865	4.099295
